t,v1,v2
0,0,0
1e-05,5,0.04950495049504951
2e-05,5,0.09851975296539556
3.0000000000000004e-05,5,0.1470492603617778
4e-05,5,0.1950982775859186
5e-05,5,0.24267156196625606
6e-05,5,0.2897738237289664
7.000000000000001e-05,5,0.33640972646432316
8e-05,5,0.38258388758843875
9e-05,5,0.4283008788004344
1e-04,5,0.47356522653508354
0.00011,5,0.5183814124109738
0.00012,5,0.5627538736742315
0.00013000000000000002,5,0.6066870036378529
0.00014000000000000001,5,0.650185152116686
0.00015000000000000001,5,0.693252625858105
0.00016,5,0.7358936889684209
0.00017,5,0.7781125633350703
0.00018,5,0.819913429044624
0.00019,5,0.8613004247966576
2e-04,5,0.9022776483135224
0.00021,5,0.9428491567460618
0.00022,5,0.9830189670753088
0.00023,5,1.0227910565102067
0.00024,5,1.0621693628813929
0.00025,5,1.101157785031082
0.00026000000000000003,5,1.1397601831990913
0.00027000000000000006,5,1.177980379405041
0.0002800000000000001,5,1.2158221578267732
0.0002900000000000001,5,1.253289265175023
0.00030000000000000014,5,1.290385411064379
0.00031000000000000016,5,1.3271142683805734
0.0003200000000000002,5,1.3634794736441322
0.0003300000000000002,5,1.399484627370428
0.00034000000000000024,5,1.4351332944261663
0.00035000000000000027,5,1.4704290043823431
0.0003600000000000003,5,1.5053752518637062
0.0003700000000000003,5,1.5399754968947588
0.00038000000000000035,5,1.5742331652423356
0.00039000000000000037,5,1.6081516487547878
0.0004000000000000004,5,1.6417343056978095
0.0004100000000000004,5,1.6749844610869402
0.00042000000000000045,5,1.7079054070167723
0.0004300000000000005,5,1.7405004029869031
0.0004400000000000005,5,1.7727726762246565
0.00045000000000000053,5,1.8047254220046103
0.00046000000000000056,5,1.8363618039649607
0.0004700000000000006,5,1.8676849544207534
0.0004800000000000006,5,1.8986979746740134
0.0004900000000000006,5,1.9294039353208052
0.0005000000000000007,5,1.9598058765552526
0.0005100000000000007,5,1.9899068084705474
0.0005200000000000007,5,2.0197097113569775
0.0005300000000000007,5,2.0492175359970073
0.0005400000000000008,5,2.078433203957433
0.0005500000000000008,5,2.1073596078786467
0.0005600000000000008,5,2.1359996117610365
0.0005700000000000008,5,2.164356051248551
0.0005800000000000009,5,2.1924317339094563
0.0005900000000000009,5,2.220229439514313
0.0006000000000000009,5,2.247751920311201
0.000610000000000001,5,2.2750019012982188
0.000620000000000001,5,2.301982080493286
0.000630000000000001,5,2.3286951292012734
0.000640000000000001,5,2.3551436922784887
0.0006500000000000011,5,2.3813303883945434
0.0006600000000000011,5,2.407257810291627
0.0006700000000000011,5,2.432928525041215
0.0006800000000000011,5,2.4583450742982325
0.0006900000000000012,5,2.4835099745527054
0.0007000000000000012,5,2.508425717378916
0.0007100000000000012,5,2.533094769682095
0.0007200000000000012,5,2.5575195739426686
0.0007300000000000013,5,2.5817025484580873
0.0007400000000000013,5,2.6056460875822647
0.0007500000000000013,5,2.6293525619626386
0.0007600000000000013,5,2.65282431877489
0.0007700000000000014,5,2.6760636819553363
0.0007800000000000014,5,2.699072952431026
0.0007900000000000014,5,2.7218544083475504
0.0008000000000000014,5,2.7444103052946045
0.0008100000000000015,5,2.7667428765293116
0.0008200000000000015,5,2.788854333197338
0.0008300000000000015,5,2.8107468645518194
0.0008400000000000016,5,2.8324226381701183
0.0008500000000000016,5,2.853883800168434
0.0008600000000000016,5,2.875132475414291
0.0008700000000000016,5,2.8961707677369213
0.0008800000000000017,5,2.9170007601355654
0.0008900000000000017,5,2.9376245149857083
0.0009000000000000017,5,2.9580440742432756
0.0009100000000000017,5,2.978261459646808
0.0009200000000000018,5,2.9982786729176314
0.0009300000000000018,5,3.018097695958051
0.0009400000000000018,5,3.0377204910475752
0.0009500000000000018,5,3.0571490010372036
0.0009600000000000019,5,3.0763851495417858
0.0009700000000000019,5,3.0954308411304807
0.000980000000000002,5,3.1142879615153274
0.000990000000000002,5,3.1329583777379484
0.001000000000000002,5,3.1514439383544044
0.001010000000000002,5,3.169746473618222
0.001020000000000002,5,3.187867795661606
0.001030000000000002,5,3.2058096986748574
0.001040000000000002,5,3.2235739590840176
0.001050000000000002,5,3.24116233572675
0.0010600000000000021,5,3.2585765700264853
0.0010700000000000022,5,3.275818386164837
0.0010800000000000022,5,3.292889491252314
0.0010900000000000022,5,3.3097915754973406
0.0011000000000000022,5,3.3265263123736046
0.0011100000000000023,5,3.3430953587857473
0.0011200000000000023,5,3.359500355233413
0.0011300000000000023,5,3.3757429259736766
0.0011400000000000023,5,3.391824679181858
0.0011500000000000024,5,3.407747207110751
0.0011600000000000024,5,3.423512086248268
0.0011700000000000024,5,3.4391208774735325
0.0011800000000000024,5,3.4545751262114184
0.0011900000000000025,5,3.469876362585563
0.0012000000000000025,5,3.4850261015698645
0.0012100000000000025,5,3.50002584313848
0.0012200000000000025,5,3.5148770724143366
0.0012300000000000026,5,3.529581259816175
0.0012400000000000026,5,3.5441398612041337
0.0012500000000000026,5,3.5585543180238948
0.0012600000000000027,5,3.572826057449401
0.0012700000000000027,5,3.586956492524159
0.0012800000000000027,5,3.6009470223011477
0.0012900000000000027,5,3.6147990319813346
0.0013000000000000028,5,3.6285138930508265
0.0013100000000000028,5,3.6420929634166597
0.0013200000000000028,5,3.655537587541247
0.0013300000000000028,5,3.668849096575492
0.0013400000000000029,5,3.682028808490586
0.0013500000000000029,5,3.695078028208501
0.001360000000000003,5,3.707998047731189
0.001370000000000003,5,3.720790146268504
0.001380000000000003,5,3.733455590364856
0.001390000000000003,5,3.7459956340246094
0.001400000000000003,5,3.758411518836247
0.001410000000000003,5,3.770704474095294
0.001420000000000003,5,3.782875716926034
0.001430000000000003,5,3.794926452402014
0.0014400000000000031,5,3.8068578736653604
0.0014500000000000032,5,3.8186711620449114
0.0014600000000000032,5,3.8303674871731794
0.0014700000000000032,5,3.841948007102158
0.0014800000000000032,5,3.853413868417978
0.0014900000000000033,5,3.864766206354434
0.0015000000000000033,5,3.87600614490538
0.0015100000000000033,5,3.8871347969360195
0.0015200000000000033,5,3.8981532642930885
0.0015300000000000034,5,3.9090626379139493
0.0015400000000000034,5,3.919863997934603
0.0015500000000000034,5,3.930558413796636
0.0015600000000000034,5,3.9411469443531053
0.0015700000000000035,5,3.9516306379733717
0.0015800000000000035,5,3.9620105326469024
0.0015900000000000035,5,3.9722876560860416
0.0016000000000000035,5,3.982463025827764
0.0016100000000000036,5,3.99253764933442
0.0016200000000000036,5,4.002512524093485
0.0016300000000000036,5,4.012388637716322
0.0016400000000000037,5,4.022166968035962
0.0016500000000000037,5,4.031848483203923
0.0016600000000000037,5,4.041434141786063
0.0016700000000000037,5,4.050924892857488
0.0016800000000000038,5,4.060321676096523
0.0016900000000000038,5,4.0696254218777455
0.0017000000000000038,5,4.078837051364104
0.0017100000000000038,5,4.087957476598123
0.0017200000000000039,5,4.096987600592201
0.0017300000000000039,5,4.105928317418021
0.001740000000000004,5,4.114780512295071
0.001750000000000004,5,4.123545061678288
0.001760000000000004,5,4.13222283334484
0.001770000000000004,5,4.14081468648004
0.001780000000000004,5,4.149321471762415
0.001790000000000004,5,4.157744031447936
0.001800000000000004,5,4.166083199453402
0.001810000000000004,5,4.174339801439012
0.0018200000000000041,5,4.18251465489011
0.0018300000000000041,5,4.190608569198129
0.0018400000000000042,5,4.198622345740722
0.0018500000000000042,5,4.206556777961111
0.0018600000000000042,5,4.2144126514466445
0.0018700000000000043,5,4.2221907440065785
0.0018800000000000043,5,4.229891825749087
0.0018900000000000043,5,4.237516659157512
0.0019000000000000043,5,4.2450659991658535
0.0019100000000000044,5,4.252540593233518
0.0019200000000000044,5,4.259941181419324
0.0019300000000000044,5,4.2672684964547765
0.0019400000000000044,5,4.274523263816611
0.0019500000000000045,5,4.281706201798625
0.0019600000000000043,5,4.288818021582797
0.0019700000000000043,5,4.2958594273097
0.0019800000000000043,5,4.302831116148218
0.0019900000000000044,5,4.309733778364572
0.0020000000000000044,5,4.316568097390666
0.0020100000000000044,5,4.323334749891749
0.0020200000000000044,5,4.330034405833414
0.0020300000000000045,5,4.336667728547935
0.0020400000000000045,5,4.343235374799936
0.0020500000000000045,5,4.349737994851422
0.0020600000000000045,5,4.356176232526161
0.0020700000000000046,5,4.362550725273427
0.0020800000000000046,5,4.368862104231115
0.0020900000000000046,5,4.375110994288233
0.0021000000000000046,5,4.381298014146766
0.0021100000000000047,5,4.387423776382937
0.0021200000000000047,5,4.393488887507858
